episode,epsilon,total_reward
232.0,0.3267922640880293,-8.0
233.0,0.32669223074358117,8.0
234.0,0.32659219739913303,10.0
235.0,0.3264921640546849,-10.0
236.0,0.3263921307102367,-10.0
237.0,0.32629209736578857,-10.0
238.0,0.32619206402134043,9.0
239.0,0.3260920306768923,9.0
240.0,0.3259919973324441,-10.0
241.0,0.32589196398799597,-5.0
242.0,0.32579193064354783,-5.0
243.0,0.3256918972990997,-11.0
244.0,0.3255918639546515,-9.0
245.0,0.32549183061020337,-9.0
246.0,0.32539179726575523,-9.0
247.0,0.3252917639213071,-11.0
248.0,0.3251917305768589,8.0
249.0,0.32509169723241077,-5.0
250.0,0.32499166388796263,10.0
251.0,0.3248916305435145,-3.0
252.0,0.3247915971990663,7.0
253.0,0.32469156385461817,8.0
254.0,0.32459153051017003,-8.0
255.0,0.3244914971657219,8.0
256.0,0.3243914638212737,-10.0
257.0,0.32429143047682557,-10.0
258.0,0.32419139713237743,7.0
259.0,0.3240913637879293,8.0
260.0,0.3239913304434811,-10.0
261.0,0.323891297099033,8.0
262.0,0.32379126375458483,-10.0
263.0,0.3236912304101367,-10.0
264.0,0.3235911970656885,-11.0
265.0,0.3234911637212404,-9.0
266.0,0.32339113037679224,-3.0
267.0,0.3232910970323441,9.0
268.0,0.3231910636878959,10.0
269.0,0.3230910303434478,10.0
270.0,0.32299099699899964,-8.0
271.0,0.3228909636545515,10.0
272.0,0.3227909303101033,-8.0
273.0,0.3226908969656552,-8.0
274.0,0.32259086362120704,8.0
275.0,0.3224908302767589,8.0
276.0,0.32239079693231076,8.0
277.0,0.3222907635878626,-10.0
278.0,0.32219073024341444,8.0
279.0,0.3220906968989663,-8.0
280.0,0.32199066355451816,8.0
281.0,0.32189063021007003,-4.0
282.0,0.32179059686562184,-10.0
283.0,0.3216905635211737,10.0
284.0,0.32159053017672556,-4.0
285.0,0.32149049683227743,10.0
286.0,0.32139046348782924,10.0
287.0,0.3212904301433811,-8.0
288.0,0.32119039679893296,-8.0
289.0,0.32109036345448483,8.0
290.0,0.32099033011003664,8.0
291.0,0.3208902967655885,8.0
292.0,0.32079026342114036,7.0
293.0,0.32069023007669223,-10.0
294.0,0.32059019673224404,9.0
295.0,0.3204901633877959,10.0
296.0,0.32039013004334777,-8.0
297.0,0.32029009669889963,7.0
298.0,0.32019006335445144,-8.0
299.0,0.3200900300100033,8.0
300.0,0.31998999666555517,-9.0
301.0,0.31988996332110703,9.0
302.0,0.31978992997665884,7.0
303.0,0.3196898966322107,-8.0
304.0,0.31958986328776257,7.0
305.0,0.31948982994331443,9.0
306.0,0.3193897965988663,-10.0
307.0,0.3192897632544181,-4.0
308.0,0.31918972990996997,7.0
309.0,0.31908969656552183,-9.0
310.0,0.3189896632210737,-11.0
311.0,0.3188896298766255,-11.0
312.0,0.31878959653217737,-3.0
313.0,0.31868956318772923,-9.0
314.0,0.3185895298432811,8.0
